department_name,school,harvard_equivalent,PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM056663-18,RPGs - Non SBIR/STTR,9124911,"BURATOWSKI, STEPHEN",mRNA Capping Enzyme,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$320.000 ,$222.400 ,542400,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5F32GM113406-02,Training - Individual,9171318,"NASR, MAHMOUD",BAX Activation and Oligomerization,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$58.002 ,NA,58002,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,19.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AI020566-32,RPGs - Non SBIR/STTR,9015776,"HOGLE, JAMES M",Poliovirus Cell Entry Pathways,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$396.108 ,$272.368 ,668476,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,07.03.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5F31AI120651-02,Training - Individual,9068655,"WILKIE, ADRIAN RAULET",The processes mediating capsid transport during HCMV nuclear egress,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$31.111 ,NA,31111,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,27.05.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM114065-02,RPGs - Non SBIR/STTR,9064813,"LOPARO, JOSEPH JOHN",Regulation of translesion synthesis by the bacterial replisome,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$192.500 ,$133.788 ,326288,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,04.05.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5T32GM008313-28,Training - Institutional,9055708,"HOGLE, JAMES M",Molecular Biophysics Training Grant,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$702.016 ,$35.681 ,737697,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,22.06.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3T32GM007306-41S1,Training - Institutional,9275191,"GOLAN, DAVID E.",Training in Pharmacological Sciences,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$73.740 ,$5.899 ,79639,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,28.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,2R01HL098316-05,RPGs - Non SBIR/STTR,9099349,"WALTER, JOHANNES",Mechanisms of DNA interstrand cross-link repair,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$250.000 ,$173.750 ,423750,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,21.03.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4R01GM086258-08,RPGs - Non SBIR/STTR,9015809,"CLARDY, JON",Chemical biology of bacterial symbionts,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$245.025 ,$170.292 ,415317,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,23.02.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1R01GM116898-01,RPGs - Non SBIR/STTR,9005207,"CHOU, JAMES J",Function and mechanism of the HCV p7 channel and its therapeutic potential,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$276.564 ,$188.622 ,465186,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,21.12.15,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AI108718-03,RPGs - Non SBIR/STTR,9110099,"WAGNER, GERHARD",The translation apparatus of Leishmania: from basic analysis to pursuit of novel,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$259.760 ,$88.960 ,348720,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,15.06.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3R01GM046498-25S1,RPGs - Non SBIR/STTR,9351833,"BURATOWSKI, STEPHEN",The RNA polymerase II transcription complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$77.731 ,$54.023 ,131754,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,19.09.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AI026077-29,RPGs - Non SBIR/STTR,9089845,"COEN, DONALD M",Human Cytomegalovirus Nuclear Egress: Molecular Mechanisms and Drug Targeting,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$465.947 ,$323.833 ,789780,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,15.02.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM030186-35,RPGs - Non SBIR/STTR,9132256,"STRUHL, KEVIN",Mechanisms of yeast transcriptional initiation,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$544.000 ,$378.080 ,922080,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,31.08.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3R01AI026077-29S1,RPGs - Non SBIR/STTR,9285465,"COEN, DONALD M",Human Cytomegalovirus Nuclear Egress: Molecular Mechanisms and Drug Targeting,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$23.976 ,$16.663 ,40639,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,18.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM028630-30,RPGs - Non SBIR/STTR,9116180,"BENDER, WELCOME",Molecular Genetics of the Bithorax Complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$200.250 ,$139.174 ,339424,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1R01CA200913-01A1,RPGs - Non SBIR/STTR,9175075,"WAGNER, GERHARD",Roles of Eukaryotic Translation Initiation Factors in Gene Expression,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$228.750 ,$158.981 ,387731,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.07.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5F32GM116205-02,Training - Individual,9130036,"GERDT, JOSEPH P.",Determination of the molecular basis of choanoflagellate multicellularity induction by bacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$56.118 ,NA,56118,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,17.08.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4R01AR060735-04,RPGs - Non SBIR/STTR,9001245,"LASSAR, ANDREW BRUCE",Role of GATA6 in regulating hedgehog signaling in the growth plate,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$212.500 ,$147.688 ,360188,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,04.02.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1K99CA207865-01,Other Research-Related,9163055,"JI, ZHE",Dissect regulation of RNA translation in human cancers,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$92.540 ,$7.403 ,99943,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.06.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4P01GM062580-15,RPGs - Non SBIR/STTR,9120386,"HARRISON, STEPHEN COPLAN",Atomic Resolution in Biological Electron Microscopy,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$887.792 ,$298.535 ,1186327,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,06.06.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01CA092433-14,RPGs - Non SBIR/STTR,9114088,"BLACKLOW, STEPHEN C.",Structure and function in Notch Signaling,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$278.261 ,$175.542 ,453803,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,05.08.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4P01GM047467-24,RPGs - Non SBIR/STTR,9057050,"WAGNER, GERHARD",NMR and Computational Studies of Biomolecules,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$1.500.161 ,$500.033 ,2000194,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,10.05.16,NA
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,4R01HL116391-04,RPGs - Non SBIR/STTR,9064209,"WAGNER, GERHARD",Mechanism and inhibition of SREBP-dependent cholesterol/lipid metabolism,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$612.643 ,$182.938 ,795581,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.05.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5R00HG007583-04,RPGs - Non SBIR/STTR,9128459,"GEHLENBORG, NILS",Visualization of (Epi)Genomic Data for Discovery of Disease-Associated Variants,MISCELLANEOUS,SCHOOLS OF MEDICINE,$142.845 ,$99.277 ,242122,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,16.07.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5U01CA198934-02,RPGs - Non SBIR/STTR,9070596,"WEBER, GRIFFIN M",Visualizing healthcare system dynamics in biomedical Big Data,MISCELLANEOUS,SCHOOLS OF MEDICINE,$354.757 ,$126.351 ,481108,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,31.05.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5R01HL131768-02,RPGs - Non SBIR/STTR,9122492,"KHARCHENKO, PETER V",Statistical methods for analysis of single-cell variability,MISCELLANEOUS,SCHOOLS OF MEDICINE,$363.587 ,$120.434 ,484021,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,19.05.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5P50MH106933-03,Research Centers,9114170,"KOHANE, ISAAC S.",Neuropsychiatric Genome-Scale and RDOC Individualized Domains (N-GRID),MISCELLANEOUS,SCHOOLS OF MEDICINE,$2.620.066 ,$690.367 ,3310433,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,26.07.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,3U01CA198934-02S1,RPGs - Non SBIR/STTR,9236420,"WEBER, GRIFFIN M",Visualizing healthcare system dynamics in biomedical Big Data,MISCELLANEOUS,SCHOOLS OF MEDICINE,$244.604 ,$170.000 ,414604,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,12.09.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,3U54HG007963-02S3,Research Centers,9231548,"KOHANE, ISAAC S.",Patient-Centered Information Commons,MISCELLANEOUS,SCHOOLS OF MEDICINE,$89.819 ,$62.424 ,152243,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,26.02.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5U54HG007963-03,Research Centers,9060978,"KOHANE, ISAAC S.",Patient-Centered Information Commons,MISCELLANEOUS,SCHOOLS OF MEDICINE,$3.065.931 ,$917.224 ,3983155,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,08.06.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5R21ES025052-02,RPGs - Non SBIR/STTR,8989538,"PATEL, CHIRAG JAGDISH",Increasing the power of GxE detection by using multi-locus genome-wide predictors,MISCELLANEOUS,SCHOOLS OF MEDICINE,$104.000 ,$34.750 ,138750,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,19.11.15,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5U01CA198935-02,RPGs - Non SBIR/STTR,9070659,"PARK, PETER J",Visual Analysis of Genomic and Clinical Data from Large Patient Cohorts,MISCELLANEOUS,SCHOOLS OF MEDICINE,$328.850 ,$169.795 ,498645,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,21.06.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5U01GM112623-02,RPGs - Non SBIR/STTR,8994292,"WEBER, GRIFFIN M",Modeling scientific workforce dynamics using social network analysis,MISCELLANEOUS,SCHOOLS OF MEDICINE,$303.772 ,$110.633 ,397754,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,28.12.15,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,4R01LM011566-04,RPGs - Non SBIR/STTR,9119192,"TONELLATO, PETER J.",Predictive optimal anticlotting treatment for segmented patient populations,MISCELLANEOUS,SCHOOLS OF MEDICINE,$166.929 ,$86.092 ,253021,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,18.08.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5U01HG007530-03,RPGs - Non SBIR/STTR,8985612,"KOHANE, ISAAC S.",Coordinating Center for the Undiagnosed Diseases Network,MISCELLANEOUS,SCHOOLS OF MEDICINE,$1.792.245 ,$615.460 ,2407705,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,04.12.15,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,4R00ES023504-03,RPGs - Non SBIR/STTR,9169975,"PATEL, CHIRAG JAGDISH",Data-driven identification of environmental factors in cardiovascular disease,MISCELLANEOUS,SCHOOLS OF MEDICINE,$146.853 ,$102.063 ,248916,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.12.15,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,3U01HG007530-03S1,RPGs - Non SBIR/STTR,9264720,"KOHANE, ISAAC S.",Coordinating Center for the Undiagnosed Diseases Network,MISCELLANEOUS,SCHOOLS OF MEDICINE,$208.522 ,$122.473 ,330995,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,22.09.16,NA
BIOMEDICAL INFORMATICS,Harvard,DBMI,5U01CA200059-02,RPGs - Non SBIR/STTR,9139427,"PARK, PETER J",4D Nucleome Network Data Coordination and Integration Center,MISCELLANEOUS,SCHOOLS OF MEDICINE,$1.554.388 ,$907.096 ,2461484,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,31.08.16,NA
CELL BIOLOGY,Harvard,CB,1P01NS090994-01A1,RPGs - Non SBIR/STTR,9072681,"VAN VACTOR, DAVID L.",MicroRNA-Dependent Regulation of Synaptic and Behavioral Plasticity in Drosophila,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$1.185.008 ,$289.244 ,1474252,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,18.04.16,NA
CELL BIOLOGY,Harvard,CB,4R01GM067945-13,RPGs - Non SBIR/STTR,9015807,"GYGI, STEVEN P",Global characterization of ubiquitin information networks with mass spectrometry,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$291.948 ,$202.904 ,494852,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.03.16,NA
CELL BIOLOGY,Harvard,CB,5R01DK103295-02,RPGs - Non SBIR/STTR,9012089,"HAIGIS, MARCIA",Control of metabolic homeostasis in diabetes by sirtuins,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$225.000 ,$156.375 ,381375,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,09.02.16,NA
CELL BIOLOGY,Harvard,CB,5R01AG047231-03,RPGs - Non SBIR/STTR,9061556,"YUAN, JUNYING",Investigating the neuroinflammatory role of RIP1 kinase,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$250.840 ,$174.334 ,425174,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,05.05.16,NA
CELL BIOLOGY,Harvard,CB,4K01DK098285-04,Other Research-Related,9135405,"PAULO, JOAO A",Resolving the role of nicotine-mediated phosphorylation on pancreatic fibrosis,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$117.436 ,$9.315 ,126751,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.08.16,NA
CELL BIOLOGY,Harvard,CB,5U41HG006673-05,Research Centers,9134856,"GYGI, STEVEN P",Systematic Exploration of the Human Interactome,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$392.460 ,$268.590 ,661050,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,17.06.16,NA
CELL BIOLOGY,Harvard,CB,5R01GM052586-22,RPGs - Non SBIR/STTR,9037674,"RAPOPORT, TOM A",Protein Transport Across Membranes,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$289.262 ,$199.473 ,488735,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,02.03.16,NA
CELL BIOLOGY,Harvard,CB,1R01HL132255-01,RPGs - Non SBIR/STTR,9077705,"LIBERLES, STEPHEN DANIEL",Sensory biology of respiratory control neurons in the vagus nerve,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$250.000 ,$173.750 ,423750,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,13.05.16,NA
CELL BIOLOGY,Harvard,CB,4T32GM007226-41,Training - Institutional,9070451,"HARPER, JEFFREY W",Cellular and Developmental Biology,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$614.264 ,$31.221 ,622079,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.06.16,NA
CELL BIOLOGY,Harvard,CB,2R01NS069913-06,RPGs - Non SBIR/STTR,9185575,"FLANAGAN, JOHN G",Molecular mechanisms of neuron motility and axon guidance,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$226.304 ,$157.281 ,383585,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,23.06.16,NA
CELL BIOLOGY,Harvard,CB,5R01DC013289-03,RPGs - Non SBIR/STTR,9012809,"LIBERLES, STEPHEN DANIEL",Olfactory circuits that control behavior,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$212.500 ,$147.688 ,360188,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.02.16,NA
CELL BIOLOGY,Harvard,CB,5F32CA196008-02,Training - Individual,9081220,"CHEN, HSING-YU",Elucidation of the impact of commonly co-altered genes on chemosensitivity using a novel model of high-grade serous ovarian cancer,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$58.002 ,NA,58002,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,10.05.16,NA
CELL BIOLOGY,Harvard,CB,1DP1AT009497-01,RPGs - Non SBIR/STTR,9151840,"LIBERLES, STEPHEN DANIEL",Sensory receptors of the vagus nerve,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$700.000 ,$486.500 ,1186500,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,12.09.16,NA
CELL BIOLOGY,Harvard,CB,4R01GM066492-13,RPGs - Non SBIR/STTR,8975215,"KING, RANDALL W",Chemical Genetic and Biochemical Studies of Mitotic Proteolysis,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$212.578 ,$143.589 ,356167,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.11.15,NA
CELL BIOLOGY,Harvard,CB,4R37NS083524-12,RPGs - Non SBIR/STTR,9104225,"HARPER, JEFFREY W",Systematic discovery and functional analysis of the PARKIN modified proteome,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,$250.000 ,$173.750 ,423750,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,14.07.16,NA
