department_name,school,harvard_equivalent,PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AI026077-30,RPGs - Non SBIR/STTR,9225157,"COEN, DONALD M",Human Cytomegalovirus Nuclear Egress: Molecular Mechanisms and Drug Targeting,BIOCHEMISTRY,SCHOOLS OF MEDICINE,489923,340496,830419,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,22.02.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5P01AI098681-05,RPGs - Non SBIR/STTR,9308817,"COEN, DONALD M",Viral And host mechanisms that tilt the HSV lytic/latent balance,BIOCHEMISTRY,SCHOOLS OF MEDICINE,1256538,518637,1775175,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,28.06.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,2R56AI019838-31,RPGs - Non SBIR/STTR,9464110,"COEN, DONALD M",Molecular Genetics of HSV DNA Polymerase Gene,BIOCHEMISTRY,SCHOOLS OF MEDICINE,396810,227414,624224,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,27.04.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3F32GM116205-02S1,Training - Individual,9388682,"GERDT, JOSEPH P",Determination of the molecular basis of choanoflagellate multicellularity induction by bacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,711,NA,711,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,26.01.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5F32GM116205-03,Training - Individual,9334260,"GERDT, JOSEPH P",Determination of the molecular basis of choanoflagellate multicellularity induction by bacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,59166,NA,59166,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,09.08.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5T32GM007306-42,Training - Institutional,9287782,"GOLAN, DAVID E",Training in Pharmacological Sciences,BIOCHEMISTRY,SCHOOLS OF MEDICINE,354752,18140,372892,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,11.05.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1F32GM126650-01,Training - Individual,9468607,"HENKE, MATTHEW THOMAS",Elucidating the role of an immunomodulator from a gut microbe in inflammatory bowel disease,BIOCHEMISTRY,SCHOOLS OF MEDICINE,56694,NA,56694,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,20.09.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5T32GM008313-29,Training - Institutional,9302788,"HOGLE, JAMES M",Molecular Biophysics Training Grant,BIOCHEMISTRY,SCHOOLS OF MEDICINE,709504,36280,745784,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,07.06.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AI020566-33,RPGs - Non SBIR/STTR,9238637,"HOGLE, JAMES M",Poliovirus Cell Entry Pathways,BIOCHEMISTRY,SCHOOLS OF MEDICINE,396108,272368,668476,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,18.03.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1F32GM122233-01,Training - Individual,9258585,"JACKSON, DAVID RICHARD",Discovery of Small Molecule Immunomodulators from Disease-Associated Microbiome Members,BIOCHEMISTRY,SCHOOLS OF MEDICINE,57066,NA,57066,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,15.04.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5K99CA207865-02,Other Research-Related,9307739,"JI, ZHE",Dissect regulation of RNA translation in human cancers,BIOCHEMISTRY,SCHOOLS OF MEDICINE,92540,7403,99943,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,20.06.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,1R01GM119185-01A1,RPGs - Non SBIR/STTR,9236106,"KRUSE, ANDREW",Molecular mechanisms of sigma receptor signaling,BIOCHEMISTRY,SCHOOLS OF MEDICINE,192500,130370,322870,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,31.07.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AR060735-05,RPGs - Non SBIR/STTR,9215638,"LASSAR, ANDREW BRUCE",Role of GATA6 in regulating hedgehog signaling in the growth plate,BIOCHEMISTRY,SCHOOLS OF MEDICINE,212500,147688,360188,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,16.02.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM114065-03,RPGs - Non SBIR/STTR,9269594,"LOPARO, JOSEPH JOHN",Regulation of translesion synthesis by the bacterial replisome,BIOCHEMISTRY,SCHOOLS OF MEDICINE,192500,133788,326288,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,24.04.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM115487-03,RPGs - Non SBIR/STTR,9331699,"LOPARO, JOSEPH JOHN",Visualizing DNA break repair: single-molecule studies of non-homologous end joining,BIOCHEMISTRY,SCHOOLS OF MEDICINE,197500,137263,334763,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,14.08.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM030186-36,RPGs - Non SBIR/STTR,9341945,"STRUHL, KEVIN",Mechanisms of yeast transcriptional initiation,BIOCHEMISTRY,SCHOOLS OF MEDICINE,544000,378080,922080,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,11.08.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01CA107486-10,RPGs - Non SBIR/STTR,9278120,"STRUHL, KEVIN",Genomic targets of oncoproteins and tumor suppressors,BIOCHEMISTRY,SCHOOLS OF MEDICINE,421728,293101,714829,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,26.04.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3F32GM117661-01S1,Training - Individual,9407422,"VAN ARNAM, ETHAN BUGGIE",Chemical Biology of Ant-Associated Defensive Bacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,474,NA,474,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,27.01.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5F32GM117661-02,Training - Individual,9243921,"VAN ARNAM, ETHAN BUGGIE",Chemical Biology of Ant-Associated Defensive Bacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,8443,NA,8443,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,25.05.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5P01GM047467-25,RPGs - Non SBIR/STTR,9271982,"WAGNER, GERHARD",NMR and Computational Studies of Biomolecules,BIOCHEMISTRY,SCHOOLS OF MEDICINE,1500161,500033,2000194,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,27.04.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3R01CA200913-02S1,RPGs - Non SBIR/STTR,9452260,"WAGNER, GERHARD",Roles of Eukaryotic Translation Initiation Factors in Gene Expression,BIOCHEMISTRY,SCHOOLS OF MEDICINE,112465,78163,190628,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,15.09.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01AI108718-04,RPGs - Non SBIR/STTR,9297201,"WAGNER, GERHARD",The translation apparatus of Leishmania: from basic analysis to pursuit of novel,BIOCHEMISTRY,SCHOOLS OF MEDICINE,259760,88960,348720,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,19.06.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,2R01AI037581-21A1,RPGs - Non SBIR/STTR,9236893,"WAGNER, GERHARD",Structural Basis of Immune Cell Receptor Function,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,172106,422106,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,15.11.16
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01CA200913-02,RPGs - Non SBIR/STTR,9319245,"WAGNER, GERHARD",Roles of Eukaryotic Translation Initiation Factors in Gene Expression,BIOCHEMISTRY,SCHOOLS OF MEDICINE,228750,158981,387731,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,20.06.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01HL098316-06,RPGs - Non SBIR/STTR,9247224,"WALTER, JOHANNES",Mechanisms of DNA interstrand cross-link repair,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,173750,423750,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,16.03.17
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,5R01GM080676-10,RPGs - Non SBIR/STTR,9251286,"WALTER, JOHANNES",The mechanism of vertebrate DNA replication termination,BIOCHEMISTRY,SCHOOLS OF MEDICINE,197500,137263,334763,7,BOSTON,MASSACHUSETTS,Y,"BOSTON, MASSACHUSETTS 02115",Domestic Higher Education,20.03.17
BIOCHEMISTRY AND MOLECULAR MEDICINE,Southern Cal-Keck,BCMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOLECULAR MEDICINE,Case Western Reserve,BCMP,1F31NS101771-01,Training - Individual,9326696,"ALBAN, TYLER JOSEPH",The immunosuppressive role of glioblastoma-derived macrophage migration inhibitor factor,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,34102,NA,34102,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,14.03.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01HL098199-06,RPGs - Non SBIR/STTR,9271994,"ALDRED, MICHEALA A",Germline and Somatic Genetic Changes in Pulmonary Arterial Hypertension,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,246250,144056,390306,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,29.03.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01HL130414-02,RPGs - Non SBIR/STTR,9198943,"ALDRED, MICHEALA A",Nonsense Readthrough: a Therapeutic Approach to Inherited Vascular Disorders,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,250000,146250,396250,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,27.12.16
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01CA184137-03,RPGs - Non SBIR/STTR,9329985,"ALMASAN, ALEXANDRU",Therapeutic resistance in leukemic cells: targeting BCL-2 family and autophagy,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,228750,133819,362569,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,16.08.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01EY024943-03,RPGs - Non SBIR/STTR,9189617,"APTE, SUNEEL S",Extracellular matrix remodeling in ocular anterior segment development,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,225000,131625,356625,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,18.11.16
MOLECULAR MEDICINE,Case Western Reserve,BCMP,2R01AG033720-07A1,RPGs - Non SBIR/STTR,9308535,"BALTAN, SELVA",Vulnerability of Aging White Matter to Ischemia,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,205000,122231,327231,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,13.04.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01CA184090-03,RPGs - Non SBIR/STTR,9247142,"BAO, SHIDENG",Functional Inhibition of Deubiquitylase HAUSP to Disrupt Glioblastoma Stem Cells,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,228750,133819,362569,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,22.03.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01NS099175-02,RPGs - Non SBIR/STTR,9355248,"BAO, SHIDENG",Ubiquitination and Deubiquitination of c-Myc in Glioblastoma,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,218750,127969,346719,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,20.06.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01NS091080-02,RPGs - Non SBIR/STTR,9315938,"BAO, SHIDENG",Glioblastoma stem cell-derived pericytes and cancer invasion,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,218750,127969,346719,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,25.04.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5R01CA169117-05,RPGs - Non SBIR/STTR,9265419,"BAO, SHIDENG",Targeting Ferritin in Glioblastoma,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,426907,105570,532477,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,27.04.17
MOLECULAR MEDICINE,Case Western Reserve,BCMP,5U01HL125177-04,RPGs - Non SBIR/STTR,9324352,"BECK, GERALD J",Pulmonary Vascular Disease Phenomics Program (PVDOMICS) Data Coordinating Center,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,3300000,760500,4060500,11,CLEVELAND,OHIO,Y,"CLEVELAND, OHIO 44106",Domestic Higher Education,28.07.17
