department_name,school,harvard_equivalent,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA215059-02,RPGs - Non SBIR/STTR,9757721,"FENG, HUI",9197562,The Role of DLST in Leukemogenesis,PHARMACOLOGY,SCHOOLS OF MEDICINE,$221.887,$144.227,366114,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,23.07.19,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA214880-03,RPGs - Non SBIR/STTR,9694179,"FLYNN, RACHEL L",9289180,"Functional characterization of the telomere repeat containing RNA, TERRA, in telomere maintenance",PHARMACOLOGY,SCHOOLS OF MEDICINE,$218.250,$141.862,360112,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,04.02.19,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA201446-04,RPGs - Non SBIR/STTR,9741085,"FLYNN, RACHEL L",9289180,Molecular Mechanisms Regulating the Alternative Lengthening of Telomeres Pathway,PHARMACOLOGY,SCHOOLS OF MEDICINE,$221.887,$144.227,366114,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,27.06.19,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01GM117150-04,RPGs - Non SBIR/STTR,9742483,"GANEM, NEIL J",8831758,Maintenance of Chromosome Stability by the Hippo Tumor Suppressor Pathway,PHARMACOLOGY,SCHOOLS OF MEDICINE,$200.000,$130.000,330000,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,28.06.19,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F30CA220843-02,Training - Individual,9774740,"GROMISCH, CHRISTOPHER MARR",14339660,Development of a novel Antibody Drug Conjugate for the treatment of pancreaticcancer,PHARMACOLOGY,SCHOOLS OF MEDICINE,$50.016,NA,50016,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,15.08.19,PA16-306
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F31EY029565-02,Training - Individual,9780351,"INTOY, JANIS",15295337,Function of Fixational Eye Movements for Fine Depth Perception,PHARMACOLOGY,SCHOOLS OF MEDICINE,$45.016,NA,45016,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,12.08.19,PA16-309
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R56DK121142-01A1,RPGs - Non SBIR/STTR,10017709,"JIANG, ZHEN YUE",9614141,Neutrophil elastase in obesity-related fatty liver diseases,PHARMACOLOGY,SCHOOLS OF MEDICINE,$212.500,$138.125,350625,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,13.09.19,PA19-056
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F31NS106751-02,Training - Individual,9658373,"MAZIUK, BRANDON FRANCIS",14134723,Dysfunction of mRNA metabolism in tauopathy,PHARMACOLOGY,SCHOOLS OF MEDICINE,$45.016,NA,45016,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,28.02.19,PA16-309
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AG059424-02,RPGs - Non SBIR/STTR,9770751,"QIU, WEI QIAO WENDY",6070528,Multi-center development of a novel diagnostic test for Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,$936.117,$339.294,1275411,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,27.05.19,PAR15-359
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AA025038-03,RPGs - Non SBIR/STTR,9757590,"SABINO, VALENTINA",8623035,Involvement of neuropeptide systems in excessive alcohol drinking,PHARMACOLOGY,SCHOOLS OF MEDICINE,$225.000,$146.250,371250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,05.08.19,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R21MH113128-02,RPGs - Non SBIR/STTR,9694282,"SABINO, VALENTINA",8623035,Does REST make you resilient?,PHARMACOLOGY,SCHOOLS OF MEDICINE,$125.000,$81.250,206250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,14.03.19,PA16-161
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AA024439-04,RPGs - Non SBIR/STTR,9690508,"SABINO, VALENTINA",8623035,Prefrontal cortex in excessive alcohol drinking: role of sigma receptors,PHARMACOLOGY,SCHOOLS OF MEDICINE,$225.000,$146.250,371250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,30.04.19,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA224432-02,RPGs - Non SBIR/STTR,9788312,"TAYLOR, ANDREW W",6222701,The MC1R protein palmitoylation in melanoma development,PHARMACOLOGY,SCHOOLS OF MEDICINE,$239.105,$121.151,360256,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,16.09.19,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F30CA228388-02,Training - Individual,9676057,"VITTORIA, MARC ANTHONY",15000648,Defining Novel Mechanisms of Genome Instability in BRAF-mutant Melanoma,PHARMACOLOGY,SCHOOLS OF MEDICINE,$50.016,NA,50016,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,28.06.19,PA16-306
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01AG062515-01A1,RPGs - Non SBIR/STTR,9883159,"WAINFORD, RICHARD DAVID",9792135,Aging and hypertension: Integrated renal and sympathetic control of blood pressure,PHARMACOLOGY,SCHOOLS OF MEDICINE,$400.170,$260.111,660281,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,24.09.19,PA19-056
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01HL139867-02,RPGs - Non SBIR/STTR,9697233,"WAINFORD, RICHARD DAVID",9792135,Neural control of the kidney and long-term blood pressure regulation,PHARMACOLOGY,SCHOOLS OF MEDICINE,$436.603,$205.044,641647,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,08.05.19,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01HL141406-02,RPGs - Non SBIR/STTR,9692012,"WAINFORD, RICHARD DAVID",9792135,Central mechanisms and novel biomarkers of the salt-sensitivity of blood pressure,PHARMACOLOGY,SCHOOLS OF MEDICINE,$496.955,$200.744,697699,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,27.02.19,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01AG064932-01,RPGs - Non SBIR/STTR,9840306,"WOLOZIN, BENJAMIN L",2421162,Genetic Modifiers of Protein Interaction Networks in Tauopathy,PHARMACOLOGY,SCHOOLS OF MEDICINE,$411.102,$267.216,678318,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,30.07.19,PA18-484
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R21AG059925-02,RPGs - Non SBIR/STTR,9756292,"WOLOZIN, BENJAMIN L",2421162,Regulation of brain neuroprotection and inflammation by TIA1,PHARMACOLOGY,SCHOOLS OF MEDICINE,$150.000,$97.500,247500,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,15.05.19,PAR17-039
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AG050471-05,RPGs - Non SBIR/STTR,9731359,"WOLOZIN, BENJAMIN L",2421162,RNA binding proteins as novel targets in Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,$306.003,$198.902,504905,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,07.06.19,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1RF1AG061706-01,RPGs - Non SBIR/STTR,9655120,"WOLOZIN, BENJAMIN L",2421162,Systems-level functional proteomics analysis assemblies in Alzheimers disease and mouse models of tauopathy,PHARMACOLOGY,SCHOOLS OF MEDICINE,$2.546.940,$1.398.250,3945190,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,08.02.19,PAR15-358
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1RF1AG063913-01,RPGs - Non SBIR/STTR,9802847,"XIA, WEIMING",8509340,Big data and small molecules for Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,$1.335.487,$699.736,2035223,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,02.08.19,PAR17-032
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1R01GM134539-01,RPGs - Non SBIR/STTR,9829256,"ADELMAN, KAREN L",6578994,Probing the specificity and activity of the metazoan Integrator complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$516.000,$156.280,672280,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,07.08.19,PA18-484
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R35CA220340-03,RPGs - Non SBIR/STTR,9754639,"BLACKLOW, STEPHEN C",1884664,Notch Signaling in Cancer,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$582.001,$404.490,977685,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,22.07.19,PAR16-411
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM046498-28,RPGs - Non SBIR/STTR,9678348,"BURATOWSKI, STEPHEN",1887673,The RNA polymerase II transcription complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$250.000,$164.848,414848,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,15.03.19,PA16-160
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,2R01GM056663-21,RPGs - Non SBIR/STTR,9816287,"BURATOWSKI, STEPHEN",1887673,mRNA Capping Enzyme,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$330.001,$229.351,559352,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,28.07.19,PA18-484
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5F32GM129913-02,Training - Individual,9770538,"CARNEY, SEAN MICHAEL",14738935,The of Role DNA LigIV and Its Accessory Factors in the NHEJ Synaptic Complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$63.746,NA,63746,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,28.08.19,PA16-307
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1R03AI140048-01A1,RPGs - Non SBIR/STTR,9745342,"CHEN, HAN",10438594,Repair of Incorporated Ganciclovir During Drug-Resistant Human Cytomegalovirus Replication,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$50.000,$34.750,84750,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,14.02.19,PA18-488
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM116898-04,RPGs - Non SBIR/STTR,9606493,"CHOU, JAMES J",1885291,Function and mechanism of the HCV p7 channel and its therapeutic potential,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$272.786,$188.622,461408,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.01.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01HL130143-03,RPGs - Non SBIR/STTR,9645666,"CHOU, JAMES J",1885291,Molecular Architecture Of The Mitochondrial Calcium Uniporter,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$623.320,$173.561,796881,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,08.01.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AT009708-03,RPGs - Non SBIR/STTR,9669860,"CLARDY, JON",1878823,Identification and characterization of gut microbial bioactive molecules that determine predisposition to autoimmune disease and atopy,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$531.356,$137.768,669124,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,08.03.19,PA15-135
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AT009874-11,RPGs - Non SBIR/STTR,9751781,"CLARDY, JON",1878823,Chemical biology of bacterial symbionts,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$245.141,$170.373,415514,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,12.07.19,PA16-160
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AI026077-32,RPGs - Non SBIR/STTR,9629639,"COEN, DONALD M",1888951,Human Cytomegalovirus Nuclear Egress: Molecular Mechanisms and Drug Targeting,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$465.947,$323.833,789780,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,18.01.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1R21AI141940-01,RPGs - Non SBIR/STTR,9647891,"COEN, DONALD M",1888951,Structural studies of herpesvirus DNA polymerases,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$125.000,$86.875,211875,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,08.11.18,PA18-489
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,2P01AI098681-06A1,RPGs - Non SBIR/STTR,9791972,"COEN, DONALD M",1888951,VIral and host mechanisms that tilt the HSV lytic/latent balance,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$1.511.359,$653.389,2164748,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.08.19,PAR16-413
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1T32GM132089-01,Training - Institutional,9704516,"GOLAN, DAVID E",1858811,Training in Pharmacological Sciences,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$362.528,$18.762,381290,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,12.06.19,PAR17-341
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5F32GM126650-02,Training - Individual,9631309,"HENKE, MATTHEW THOMAS",14171194,Elucidating the role of an immunomodulator from a gut microbe in inflammatory bowel disease,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$61.610,NA,61610,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.02.19,PA16-307
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM119185-03,RPGs - Non SBIR/STTR,9690088,"KRUSE, ANDREW",10334335,Molecular mechanisms of sigma receptor signaling,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$192.500,$131.558,324058,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,04.04.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1R01AR074385-01A1,RPGs - Non SBIR/STTR,9893473,"LASSAR, ANDREW BRUCE",1899368,Elucidation of the Role of Creb5 in Synovial Joint Formation,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$416.533,$289.490,706023,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,18.09.19,PA19-056
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM114065-05,RPGs - Non SBIR/STTR,9692718,"LOPARO, JOSEPH JOHN",8954265,Regulation of translesion synthesis by the bacterial replisome,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$192.500,$133.788,326288,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,17.04.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01CA107486-12,RPGs - Non SBIR/STTR,9671248,"STRUHL, KEVIN",1888597,Genomic targets of oncoproteins and tumor suppressors,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$409.076,$284.307,693383,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,10.04.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1R35GM131801-01,RPGs - Non SBIR/STTR,9699153,"STRUHL, KEVIN",1888597,Mechanism of yeast gene regulation,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$387.333,$269.196,656529,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,29.04.19,PAR17-094
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1F31HL147459-01,Training - Individual,9759162,"SUSA, KATHERINE JULIA",14530992,The Molecular Mechanism of the CD19-CD81 B Cell Co-Receptor Complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$36.960,NA,36960,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,06.05.19,PA18-671
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AI037581-23,RPGs - Non SBIR/STTR,9589452,"WAGNER, GERHARD",7780808,Structural Basis of Immune Cell Receptor Function,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$250.000,$173.750,423750,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.10.18,PAS15-055
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01CA200913-04,RPGs - Non SBIR/STTR,9722189,"WAGNER, GERHARD",7780808,Roles of Eukaryotic Translation Initiation Factors in Gene Expression,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$221.887,$154.211,376098,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,21.05.19,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM129026-02,RPGs - Non SBIR/STTR,9768515,"WAGNER, GERHARD",7780808,"Next Generation Solution NMR Techniques for GPCR Structure, Dynamics and Function",BIOCHEMISTRY,SCHOOLS OF MEDICINE,$300.000,$208.500,508500,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,26.07.19,PA16-160
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5F32GM128267-02,Training - Individual,9716392,"WALKER, ALLISON SARA",11587919,Bioinformatics and Chemical Biology Approaches for Identifying Bioactive Natural Products of Symbiotic Actinobacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,$61.226,NA,61226,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.06.19,PA16-307
