department_name,school,harvard_equivalent,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA214880-02,RPGs - Non SBIR/STTR,9456701,"FLYNN, RACHEL L",9289180,"Functional characterization of the telomere repeat containing RNA, TERRA, in telomere maintenance",PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,145875,237158,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,03.05.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01CA201446-03,RPGs - Non SBIR/STTR,9523254,"FLYNN, RACHEL L",9289180,Molecular Mechanisms Regulating the Alternative Lengthening of Telomeres Pathway,PHARMACOLOGY,SCHOOLS OF MEDICINE,228750,148688,377438,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,06.07.18,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F31DK116501-02,Training - Individual,9559414,"FRAME, ALISSA A",12438531,Renal and Neural Mechanisms of Age-Related Hypertension,PHARMACOLOGY,SCHOOLS OF MEDICINE,49524,NA,49524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,13.08.18,PA16-309
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01GM117150-03,RPGs - Non SBIR/STTR,9517948,"GANEM, NEIL J",8831758,Maintenance of Chromosome Stability by the Hippo Tumor Suppressor Pathway,PHARMACOLOGY,SCHOOLS OF MEDICINE,2e+05,130000,330000,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,10.07.18,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1F30CA220843-01A1,Training - Individual,9609730,"GROMISCH, CHRISTOPHER MARR",14339660,Development of a novel Antibody Drug Conjugate for the treatment of pancreaticcancer,PHARMACOLOGY,SCHOOLS OF MEDICINE,49524,NA,49524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,03.07.18,PA16-306
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1F31EY029565-01,Training - Individual,9610984,"INTOY, JANIS",15295337,Function of Fixational Eye Movements for Fine Depth Perception,PHARMACOLOGY,SCHOOLS OF MEDICINE,44524,NA,44524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,23.08.18,PA16-309
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1F31NS106751-01,Training - Individual,9540489,"MAZIUK, BRANDON FRANCIS",14134723,Dysfunction of mRNA metabolism in tauopathy,PHARMACOLOGY,SCHOOLS OF MEDICINE,44524,NA,44524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,07.02.18,PA16-309
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5F31DA044664-02,Training - Individual,9572917,"MOORE, CATHERINE FRANCES",12400637,CRF modulation of reward function in compulsive eating,PHARMACOLOGY,SCHOOLS OF MEDICINE,44524,NA,44524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,26.07.18,PA16-309
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R56AG059805-01,RPGs - Non SBIR/STTR,9783374,"QIU, WEI QIAO WENDY",6070528,Quantitative systems pharmacology and translational study of pramlintide for Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,491247,319311,810558,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,14.09.18,PAR17-032
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01AG059424-01,RPGs - Non SBIR/STTR,9546183,"QIU, WEI QIAO WENDY",6070528,Multi-center development of a novel diagnostic test for Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,950534,355544,1306078,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,27.08.18,PAR15-359
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R21MH113128-01A1,RPGs - Non SBIR/STTR,9456000,"SABINO, VALENTINA",8623035,Does REST make you resilient?,PHARMACOLOGY,SCHOOLS OF MEDICINE,150000,97375,247375,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,03.05.18,PA16-161
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AA025038-02,RPGs - Non SBIR/STTR,9567085,"SABINO, VALENTINA",8623035,Involvement of neuropeptide systems in excessive alcohol drinking,PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,146250,371250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,06.08.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AA024439-03,RPGs - Non SBIR/STTR,9474546,"SABINO, VALENTINA",8623035,Prefrontal cortex in excessive alcohol drinking: role of sigma receptors,PHARMACOLOGY,SCHOOLS OF MEDICINE,225000,146250,371250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,25.04.18,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1F30CA228388-01,Training - Individual,9541034,"VITTORIA, MARC ANTHONY",15000648,Defining Novel Mechanisms of Genome Instability in BRAF-mutant Melanoma,PHARMACOLOGY,SCHOOLS OF MEDICINE,49524,NA,49524,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,28.03.18,PA16-306
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01HL141406-01,RPGs - Non SBIR/STTR,9498223,"WAINFORD, RICHARD DAVID",9792135,Central mechanisms and novel biomarkers of the salt-sensitivity of blood pressure,PHARMACOLOGY,SCHOOLS OF MEDICINE,496955,232945,729900,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,27.04.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R56AG057687-01A1,RPGs - Non SBIR/STTR,9751048,"WAINFORD, RICHARD DAVID",9792135,Aging and hypertension: Integrated renal and sympathetic control of blood pressure,PHARMACOLOGY,SCHOOLS OF MEDICINE,442932,287906,730838,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,08.09.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R01HL139867-01A1,RPGs - Non SBIR/STTR,9593977,"WAINFORD, RICHARD DAVID",9792135,Neural control of the kidney and long-term blood pressure regulation,PHARMACOLOGY,SCHOOLS OF MEDICINE,454752,221294,676046,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,11.05.18,PA16-160
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,5R01AG050471-04,RPGs - Non SBIR/STTR,9486812,"WOLOZIN, BENJAMIN L",2421162,RNA binding proteins as novel targets in Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,305409,198261,503670,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,25.06.18,PA13-302
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1RF1AG056318-01A1,RPGs - Non SBIR/STTR,9520533,"WOLOZIN, BENJAMIN L",2421162,Capturing the molecular complexity of Alzheimers disease through the lens of RNA binding proteins,PHARMACOLOGY,SCHOOLS OF MEDICINE,2920813,1023599,3944412,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,31.05.18,PAR15-358
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,1R21AG059925-01,RPGs - Non SBIR/STTR,9575940,"WOLOZIN, BENJAMIN L",2421162,Regulation of brain neuroprotection and inflammation by TIA1,PHARMACOLOGY,SCHOOLS OF MEDICINE,125000,81250,206250,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,06.08.18,PAR17-039
PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,Boston,BCMP,894901,3R01AG050471-04S1,RPGs - Non SBIR/STTR,9717388,"WOLOZIN, BENJAMIN L",2421162,RNA binding proteins as novel targets in Alzheimers disease,PHARMACOLOGY,SCHOOLS OF MEDICINE,245654,0,245654,7,BOSTON,MASSACHUSETTS,2118,Y,BOSTON UNIVERSITY SCHOOL OF MEDICINE,Domestic Higher Education,20.08.18,PA18-591
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R35CA220340-02,RPGs - Non SBIR/STTR,9544175,"BLACKLOW, STEPHEN C",1884664,Notch Signaling in Cancer,BIOCHEMISTRY,SCHOOLS OF MEDICINE,6e+05,417000,1017000,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,01.08.18,PAR16-411
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM046498-27,RPGs - Non SBIR/STTR,9470902,"BURATOWSKI, STEPHEN",1887673,The RNA polymerase II transcription complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,173322,423322,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,04.04.18,PA16-160
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM056663-20,RPGs - Non SBIR/STTR,9520162,"BURATOWSKI, STEPHEN",1887673,mRNA Capping Enzyme,BIOCHEMISTRY,SCHOOLS OF MEDICINE,320000,222400,542400,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,26.06.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1F32GM129913-01,Training - Individual,9608319,"CARNEY, SEAN MICHAEL",14738935,The of Role DNA LigIV and Its Accessory Factors in the NHEJ Synaptic Complex,BIOCHEMISTRY,SCHOOLS OF MEDICINE,59038,NA,59038,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,15.08.18,PA16-307
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM116898-03,RPGs - Non SBIR/STTR,9405890,"CHOU, JAMES J",1885291,Function and mechanism of the HCV p7 channel and its therapeutic potential,BIOCHEMISTRY,SCHOOLS OF MEDICINE,274095,188622,462717,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.11.17,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01HL130143-02,RPGs - Non SBIR/STTR,9412870,"CHOU, JAMES J",1885291,Molecular Architecture Of The Mitochondrial Calcium Uniporter,BIOCHEMISTRY,SCHOOLS OF MEDICINE,628552,177197,805749,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,09.02.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AT009708-02,RPGs - Non SBIR/STTR,9460370,"CLARDY, JON",1878823,Identification and characterization of gut microbial bioactive molecules that determine predisposition to autoimmune disease and atopy,BIOCHEMISTRY,SCHOOLS OF MEDICINE,531356,137768,669124,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,16.03.18,PA15-135
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5U19TW009872-05,RPGs - Non SBIR/STTR,9540741,"CLARDY, JON",1878823,Novel therapeutic agents from the bacterial symbionts of Brazilian invertebrates,BIOCHEMISTRY,SCHOOLS OF MEDICINE,655203,143491,798694,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,18.08.18,RFATW13-001
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,3U19TW009872-05S1,RPGs - Non SBIR/STTR,9748228,"CLARDY, JON",1878823,Novel therapeutic agents from the bacterial symbionts of Brazilian invertebrates,BIOCHEMISTRY,SCHOOLS OF MEDICINE,150000,0,150000,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,27.08.18,RFATW13-001
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,3R01AT009708-02S1,RPGs - Non SBIR/STTR,9755657,"CLARDY, JON",1878823,Identification and characterization of gut microbial bioactive molecules that determine predisposition to autoimmune disease and atopy,BIOCHEMISTRY,SCHOOLS OF MEDICINE,212083,127054,339137,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,23.08.18,PA15-135
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AT009874-10,RPGs - Non SBIR/STTR,9532096,"CLARDY, JON",1878823,Chemical biology of bacterial symbionts,BIOCHEMISTRY,SCHOOLS OF MEDICINE,245141,170373,415514,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,27.07.18,PA16-160
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AI026077-31,RPGs - Non SBIR/STTR,9439683,"COEN, DONALD M",1888951,Human Cytomegalovirus Nuclear Egress: Molecular Mechanisms and Drug Targeting,BIOCHEMISTRY,SCHOOLS OF MEDICINE,465947,323833,789780,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,22.01.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5T32GM007306-43,Training - Institutional,9483301,"GOLAN, DAVID E",1858811,Training in Pharmacological Sciences,BIOCHEMISTRY,SCHOOLS OF MEDICINE,358592,18447,311796,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.06.18,PA11-184
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5T32GM008313-30,Training - Institutional,9502287,"HOGLE, JAMES M",1888918,Molecular Biophysics Training Grant,BIOCHEMISTRY,SCHOOLS OF MEDICINE,717184,36895,754078,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,28.06.18,PA11-184
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AI020566-34,RPGs - Non SBIR/STTR,9457212,"HOGLE, JAMES M",1888918,Poliovirus Cell Entry Pathways,BIOCHEMISTRY,SCHOOLS OF MEDICINE,396108,272368,668476,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,22.02.18,PA11-260
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5F32GM122233-02,Training - Individual,9477351,"JACKSON, DAVID RICHARD",14088195,Discovery of Small Molecule Immunomodulators from Disease-Associated Microbiome Members,BIOCHEMISTRY,SCHOOLS OF MEDICINE,61174,NA,61174,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,27.06.18,PA14-149
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1F32GM129940-01,Training - Individual,9609790,"JOHNSON, ADAM",12341455,Structural and Kinetic Characterization of the Flavivirus Membrane Fusion Mechanism,BIOCHEMISTRY,SCHOOLS OF MEDICINE,59038,NA,59038,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,19.09.18,PA16-307
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM119185-02,RPGs - Non SBIR/STTR,9536898,"KRUSE, ANDREW",10334335,Molecular mechanisms of sigma receptor signaling,BIOCHEMISTRY,SCHOOLS OF MEDICINE,192500,130955,323455,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.04.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM114065-04,RPGs - Non SBIR/STTR,9475826,"LOPARO, JOSEPH JOHN",8954265,Regulation of translesion synthesis by the bacterial replisome,BIOCHEMISTRY,SCHOOLS OF MEDICINE,192500,133788,326288,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,30.04.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM115487-04,RPGs - Non SBIR/STTR,9544261,"LOPARO, JOSEPH JOHN",8954265,Visualizing DNA break repair: single-molecule studies of non-homologous end joining,BIOCHEMISTRY,SCHOOLS OF MEDICINE,197500,137263,334763,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,31.08.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01CA107486-11,RPGs - Non SBIR/STTR,9476954,"STRUHL, KEVIN",1888597,Genomic targets of oncoproteins and tumor suppressors,BIOCHEMISTRY,SCHOOLS OF MEDICINE,421728,293101,714829,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.03.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01GM030186-37,RPGs - Non SBIR/STTR,9543479,"STRUHL, KEVIN",1888597,Mechanisms of yeast transcriptional initiation,BIOCHEMISTRY,SCHOOLS OF MEDICINE,544000,378080,922080,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,31.08.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,3R01CA200913-03S1,RPGs - Non SBIR/STTR,9598125,"WAGNER, GERHARD",7780808,Roles of Eukaryotic Translation Initiation Factors in Gene Expression,BIOCHEMISTRY,SCHOOLS OF MEDICINE,121780,84637,206417,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,15.06.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01AI037581-22,RPGs - Non SBIR/STTR,9386715,"WAGNER, GERHARD",7780808,Structural Basis of Immune Cell Receptor Function,BIOCHEMISTRY,SCHOOLS OF MEDICINE,250000,172065,422065,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,20.10.17,PAS15-055
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,5R01CA200913-03,RPGs - Non SBIR/STTR,9512897,"WAGNER, GERHARD",7780808,Roles of Eukaryotic Translation Initiation Factors in Gene Expression,BIOCHEMISTRY,SCHOOLS OF MEDICINE,228750,158981,387731,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,13.06.18,PA13-302
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1R01GM129026-01,RPGs - Non SBIR/STTR,9575093,"WAGNER, GERHARD",7780808,"Next Generation Solution NMR Techniques for GPCR Structure, Dynamics and Function",BIOCHEMISTRY,SCHOOLS OF MEDICINE,3e+05,208500,508500,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,22.08.18,PA16-160
BIOLOGICAL CHEMISTRY AND MOLECULAR PHARMACOLOGY,Harvard,BCMP,3212902,1F32GM128267-01,Training - Individual,9540546,"WALKER, ALLISON SARA",11587919,Bioinformatics and Chemical Biology Approaches for Identifying Bioactive Natural Products of Symbiotic Actinobacteria,BIOCHEMISTRY,SCHOOLS OF MEDICINE,58282,NA,58282,7,BOSTON,MASSACHUSETTS,2115,Y,HARVARD MEDICAL SCHOOL,Domestic Higher Education,24.05.18,PA16-307
